Unnamed: 0,Unnamed: 1,Unnamed: 2,Consulta de precios
,,,
,,,
Maíz,,,
Fecha de operación,,Precio,
2010-01-04 00:00:00,,522,
2010-01-05 00:00:00,(E),522,
2010-01-06 00:00:00,(E),522,
2010-01-07 00:00:00,(E),544,
2010-01-08 00:00:00,(E),536,
2010-01-11 00:00:00,(E),542,
2010-01-12 00:00:00,(E),547,
2010-01-13 00:00:00,(E),519,
2010-01-14 00:00:00,(E),507,
2010-01-15 00:00:00,(E),507,
2010-01-18 00:00:00,(E),499,
2010-01-19 00:00:00,(E),499,
2010-01-20 00:00:00,(E),496,
2010-01-21 00:00:00,,491,
2010-01-22 00:00:00,(E),493,
2010-01-25 00:00:00,(E),486,
2010-01-26 00:00:00,(E),486,
2010-01-27 00:00:00,(E),478,
2010-01-28 00:00:00,(E),469,
2010-01-29 00:00:00,(E),470,
2010-02-01 00:00:00,(E),466,
2010-02-02 00:00:00,(E),466,
2010-02-03 00:00:00,(E),474,
2010-02-04 00:00:00,(E),463,
2010-02-05 00:00:00,(E),461,
2010-02-08 00:00:00,(E),455,
2010-02-09 00:00:00,(E),455,
2010-02-10 00:00:00,(E),458,
2010-02-11 00:00:00,(E),470,
2010-02-12 00:00:00,(E),474,
2010-02-15 00:00:00,(E),474,
2010-02-16 00:00:00,(E),472,
2010-02-17 00:00:00,,469,
2010-02-18 00:00:00,,454,
2010-02-19 00:00:00,,448,
2010-02-22 00:00:00,,448,
2010-02-23 00:00:00,,455,
2010-02-24 00:00:00,,451,
2010-02-25 00:00:00,,451,
2010-02-26 00:00:00,,457,
2010-03-01 00:00:00,(E),469,
2010-03-02 00:00:00,(E),463,
2010-03-03 00:00:00,(E),460,
2010-03-04 00:00:00,(E),468,
2010-03-05 00:00:00,(E),466,
2010-03-08 00:00:00,(E),460,
2010-03-09 00:00:00,(E),463,
2010-03-10 00:00:00,(E),413,
2010-03-11 00:00:00,(E),413,
2010-03-12 00:00:00,(E),448,
2010-03-15 00:00:00,(E),412,
2010-03-16 00:00:00,(E),420,
2010-03-17 00:00:00,(E),420,
2010-03-18 00:00:00,(E),420,
2010-03-19 00:00:00,(E),420,
2010-03-22 00:00:00,(E),420,
2010-03-23 00:00:00,(E),420,
2010-03-25 00:00:00,(E),415,
2010-03-26 00:00:00,(E),415,
2010-03-29 00:00:00,(E),415,
2010-03-30 00:00:00,(E),415,
2010-03-31 00:00:00,(E),415,
2010-04-05 00:00:00,(E),420,
2010-04-06 00:00:00,(E),425,
2010-04-07 00:00:00,(E),425,
2010-04-08 00:00:00,(E),425,
2010-04-09 00:00:00,(E),425,
2010-04-12 00:00:00,(E),425,
2010-04-13 00:00:00,(E),430,
2010-04-14 00:00:00,(E),440,
2010-04-15 00:00:00,(E),440,
2010-04-16 00:00:00,(E),440,
2010-04-19 00:00:00,(E),420,
2010-04-20 00:00:00,(E),440,
2010-04-21 00:00:00,(E),445,
2010-04-22 00:00:00,(E),450,
2010-04-23 00:00:00,(E),444,
2010-04-26 00:00:00,(E),444,
2010-04-27 00:00:00,(E),430,
2010-04-28 00:00:00,(E),450,
2010-04-29 00:00:00,(E),460,
2010-04-30 00:00:00,(E),460,
